Time Step,Robot ID,X,Y,Degree,SD Est,,
50,11,-14.752791,-392.33588,0,0,,
51,0,6.884537,142.80693,0,0,,
51,1,-271.24484,-94.957405,0,0,,
51,2,-43.7024,92.10339,0,0,,
51,3,-167.77917,384.82098,0,0,,
51,4,-281.59137,-182.97621,0,0,,
51,5,56.594547,-268.92914,0,0,,
51,6,-390.8858,-3.2766404,0,0,,
51,7,-103.72566,228.07991,0,0,,
51,8,39.451324,12.693951,0,0,,
51,9,198.95613,-150.84952,0,0,,
51,10,186.7052,-369.08774,0,0,,
51,11,-17.131283,-391.82834,0,0,,
52,0,8.880809,140.56754,1,0.2,,
52,1,-272.3529,-97.74527,0,0,,
52,2,-43.51761,95.097694,1,1,,
52,3,-164.87271,384.0777,0,0,,
52,4,-279.7132,-180.63689,0,0,,
52,5,53.59692,-268.80984,0,0,,
52,6,-392.54428,-4.866161,0,0,,
52,7,-105.15357,225.44153,0,0,,
52,8,41.55702,14.830782,0,0,,
52,9,196.13274,-149.83542,0,0,,
52,10,189.42345,-370.35706,0,0,,
52,11,-15.793207,-392.68506,0,0,,
53,0,11.442062,139.0055,1,1,,
53,1,-273.36676,-100.568756,0,0,,
53,2,-42.340298,97.85703,1,1,,
53,3,-161.88768,383.77838,0,0,,
53,4,-278.49496,-177.89537,0,0,,
53,5,50.6179,-268.45566,0,0,,
53,6,-391.1693,-2.103431,0,0,,
53,7,-106.57332,222.79874,0,0,,
53,8,43.59863,17.028925,0,0,,
53,9,193.3072,-148.82729,0,0,,
53,10,192.27206,-371.298,0,0,,
53,11,-17.718014,-392.30112,0,0,,
54,0,13.711263,137.04317,1,1,,
54,1,-274.07718,-103.48343,0,0,,
54,2,-41.28798,100.66641,1,1,,
54,3,-159.00356,382.95267,0,0,,
54,4,-277.25998,-175.16136,0,0,,
54,5,48.605465,-266.23077,0,0,,
54,6,-390.67163,0.82042384,0,0,,
54,7,-108.38205,220.4053,0,0,,
